taxon,specimen,ITS,psbA_trnH,psbJ_petA,rbcL,trnL_trnF,trnS_trnG,trnT_trnL,ncpGS,Nmarker,Kmarker,duplicate
Oxalis_gracilis,Oberlander123,EU436976,NA,NA,NA,EU437104,EU437262,NA,NA,3,TRUE,FALSE
Oxalis_grammopetala,Oberlander0156,EU436906,NA,NA,NA,EU437062,EU437194,NA,NA,3,TRUE,FALSE
Oxalis_grammophylla,Dreyer670,EU437016,NA,NA,NA,AJ582323,EU437302,NA,NA,3,TRUE,TRUE
Oxalis_gregaria,Roe1597,JN618532,NA,JN836826,NA,JN639565,NA,NA,NA,3,TRUE,FALSE
Oxalis_griffithii,Aoki35,LC206055,NA,LC206163,NA,LC206377,NA,LC206270,NA,4,TRUE,FALSE
Oxalis_grisea,Vaio512,KC602025,NA,KC602050,NA,KC602079,NA,KC602105,NA,4,TRUE,TRUE
Oxalis_gyrorhiza,Heibl02-035,NA,JN602093,NA,NA,JN620129,JN627225,NA,NA,3,FALSE,TRUE
Oxalis_haedulipes,Mucina180903/9,EU436886,NA,NA,NA,EU437048,EU437175,NA,NA,3,TRUE,FALSE
Oxalis_hedysarifolia,Almeida1980,OQ623642,NA,OR099840,NA,OR099866,NA,NA,NA,3,TRUE,FALSE
Oxalis_hedysaroides,Cornejo10079,1,NA,1,NA,1,NA,NA,NA,3,TRUE,FALSE
Oxalis_hepatica,Nuernberg1800,OQ623645,NA,OR099847,NA,OR099872,NA,NA,NA,3,TRUE,FALSE
